element #,waveln. At elem cent.
585,688.5510428
586,689.1383095
587,689.7255763
588,690.312843
589,690.9001098
590,691.4873765
591,692.0746432
592,692.66191
593,693.2491767
594,693.8364435
595,694.4237102
596,695.0109769
597,695.5982437
598,696.1855104
599,696.7727772
600,697.3600439
601,697.9473106
602,698.5345774
603,699.1218441
604,699.7091109
605,700.2963776
606,700.8836443
607,701.4709111
608,702.0581778
609,702.6454446
610,703.2327113
611,703.819978
612,704.4072448
613,704.9945115
614,705.5817783
615,706.169045
616,706.7563117
617,707.3435785
618,707.9308452
619,708.518112
620,709.1053787
621,709.6926454
622,710.2799122
623,710.8671789
624,711.4544457
625,712.0417124
626,712.6289791
627,713.2162459
628,713.8035126
629,714.3907794
630,714.9780461
631,715.5653128
632,716.1525796
633,716.7398463
634,717.3271131
635,717.9143798
636,718.5016465
637,719.0889133
638,719.67618
639,720.2634468
640,720.8507135
641,721.4379802
642,722.025247
643,722.6125137
644,723.1997805
645,723.7870472
646,724.3743139
647,724.9615807
648,725.5488474
649,726.1361142
650,726.7233809
651,727.3106476
652,727.8979144
653,728.4851811
654,729.0724479
655,729.6597146
656,730.2469813
657,730.8342481
658,731.4215148
659,732.0087816
660,732.5960483
661,733.183315
662,733.7705818
663,734.3578485
664,734.9451153
665,735.532382
666,736.1196487
667,736.7069155
668,737.2941822
669,737.881449
670,738.4687157
671,739.0559824
672,739.6432492
673,740.2305159
674,740.8177827
675,741.4050494
676,741.9923161
677,742.5795829
678,743.1668496
679,743.7541164
680,744.3413831
681,744.9286498
682,745.5159166
683,746.1031833
684,746.6904501
685,747.2777168
686,747.8649835
687,748.4522503
688,749.039517
689,749.6267838
690,750.2140505
691,750.8013172
692,751.388584
693,751.9758507
694,752.5631175
695,753.1503842
696,753.7376509
697,754.3249177
698,754.9121844
699,755.4994512
700,756.0867179
701,756.6739846
702,757.2612514
703,757.8485181
704,758.4357849
705,759.0230516
706,759.6103183
707,760.1975851
708,760.7848518
709,761.3721186
710,761.9593853
711,762.546652
712,763.1339188
713,763.7211855
714,764.3084523
715,764.895719
716,765.4829857
717,766.0702525
718,766.6575192
719,767.2447859
720,767.8320527
721,768.4193194
722,769.0065862
723,769.5938529
724,770.1811196
725,770.7683864
726,771.3556531
727,771.9429199
728,772.5301866
729,773.1174533
730,773.7047201
731,774.2919868
732,774.8792536
733,775.4665203
734,776.053787
735,776.6410538
736,777.2283205
737,777.8155873
738,778.402854
739,778.9901207
740,779.5773875
741,780.1646542
742,780.751921
743,781.3391877
744,781.9264544
745,782.5137212
746,783.1009879
747,783.6882547
748,784.2755214
749,784.8627881
750,785.4500549
751,786.0373216
752,786.6245884
753,787.2118551
754,787.7991218
755,788.3863886
756,788.9736553
757,789.5609221
758,790.1481888
759,790.7354555
760,791.3227223
761,791.909989
762,792.4972558
763,793.0845225
764,793.6717892
765,794.259056
766,794.8463227
767,795.4335895
768,796.0208562
769,796.6081229
770,797.1953897
771,797.7826564
772,798.3699232
773,798.9571899
774,799.5444566
775,800.1317234
776,800.7189901
777,801.3062569
778,801.8935236
779,802.4807903
780,803.0680571
781,803.6553238
782,804.2425906
783,804.8298573
784,805.417124
785,806.0043908
786,806.5916575
787,807.1789243
788,807.766191
789,808.3534577
790,808.9407245
791,809.5279912
792,810.115258
793,810.7025247
794,811.2897914
795,811.8770582
796,812.4643249
797,813.0515917
798,813.6388584
799,814.2261251
800,814.8133919
801,815.4006586
802,815.9879254
803,816.5751921
804,817.1624588
805,817.7497256
806,818.3369923
807,818.9242591
808,819.5115258
809,820.0987925
810,820.6860593
811,821.273326
812,821.8605928
813,822.4478595
814,823.0351262
